component_id,function,layer_order,candidate_material_family,skin_contact,circular_design_intent,draft_target_mass_g,target_status,mass_per_unit_g,supplier,supplier_evidence_ref,treatment_route,treatment_evidence_ref,status,notes
MP-TS-001,topsheet,1,hydrophilic polypropylene nonwoven or validated fibre topsheet,true,minimize additives and document exact composition,0.70,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Fragrance-free baseline; exact material requires skin-contact review
MP-ADL-001,acquisition_distribution_layer,2,cellulose-based or polyolefin acquisition layer,false,simplify composition while meeting acquisition and rewet targets,0.60,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Final material depends on prototype testing
MP-CW-001,core_wrap_upper,3,cellulose tissue or declared nonwoven,false,stabilize absorbent core with low material mass,0.25,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,May be integrated with core architecture in later revisions
MP-CORE-001,absorbent_core,4,cellulose fluff/pulp + optional superabsorbent polymer,false,record cellulose and SAP separately and verify treatment outputs,4.50,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Draft combined core target only; cellulose/SAP split requires measured evidence
MP-CW-002,core_wrap_lower,5,cellulose tissue or declared nonwoven,false,stabilize core and preserve material traceability,0.25,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Optional depending on manufacturing architecture
MP-BF-001,barrier_backsheet,6,polyethylene film or declared polyolefin laminate,false,prefer mono-family barrier structure where feasible,0.80,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Leakage barrier performance requires validation
MP-ADH-001,garment_adhesive,7,hot-melt pressure-sensitive adhesive,false,minimize grams per unit and document chemistry class,0.35,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Adhesive performance and treatment compatibility must be checked
MP-WING-001,wings,8,polyolefin extension with adhesive,false,integrate with backsheet/topsheet materials where feasible to avoid extra families,0.50,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Optional variant; wing geometry is prototype-only
MP-RL-001,release_liner,9,siliconized paper or separable polyolefin film,false,select a clearly identifiable separable material and count its mass,0.60,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Release liner must never be omitted from circularity accounting
MP-WRP-001,individual_wrapper,10,polyethylene or polypropylene film,false,prefer mono-material wrapper with clear identification and collection guidance,0.80,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Wrapper mass included in functional-unit accounting
MP-PKG-001,outer_packaging,11,polyethylene or polypropylene flexible packaging,false,prefer mono-material packaging with verified local route,0.35,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Allocated outer-pack target per pad; actual pack mass and unit count must be measured
